Proposal_Number,Grant_Number,Field_of_Science,Field_of_Science_Division,Field_of_Science_Directorate,Project_Type,Transaction_Type,Start_Date,End_Date
MCB110168,MCB110168,Genetics and Nucleic Acids,Molecular Biosciences,Biological Sciences,Startup,new,9/17/2011,9/17/2012
MCB150063,MCB150063,Genetics and Nucleic Acids,Molecular Biosciences,Biological Sciences,Startup,new,5/4/2015,5/3/2016
TRA150019,TRA150019,Training,Training,Other,Campus Champions,new,6/26/2015,6/25/2016
TRA150019,TRA150019,Training,Training,Other,Campus Champions,renewal,6/26/2016,6/25/2017
TRA150019,TRA150019,Training,Training,Other,Campus Champions,renewal,6/22/2016,6/21/2017
TRA150019,TRA150019,Training,Training,Other,Campus Champions,renewal,6/26/2017,6/25/2018
TRA150019,TRA150019,Training,Training,Other,Campus Champions,renewal,6/22/2017,6/21/2018
ENG170028,ENG170028,Engineering,Engineering,Engineering,Startup,new,9/20/2017,9/19/2018
TRA150019,TRA150019,Computer and Computation Research,Computer and Computation Research,Computer and Information Science and Engineering,Campus Champions,renewal,6/26/2018,6/25/2019
MCB180180,MCB180180,Genetics and Nucleic Acids,Molecular Biosciences,Biological Sciences,Startup,new,10/30/2018,10/29/2019
BCS070007,BCS070004T,Biological and Critical Systems,Biological and Critical Systems,Engineering,,new,6/6/2007,5/31/2008
OCE100016,OCE100016,Ocean Sciences,Ocean Sciences,Geosciences,Startup,new,8/18/2010,8/18/2011
BCS110003,BCS110003,Environmental and Ocean Systems,Biological and Critical Systems,Engineering,TRAC,renewal,1/1/2011,12/31/2011
BCS110003,BCS110003,Ocean Sciences,Ocean Sciences,Geosciences,XRAC,renewal,1/1/2012,12/31/2012
CHE140091,CHE140091,Physical Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,new,6/7/2014,6/6/2015
CHE140091,CHE140091,Physical Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,renewal,6/25/2015,6/24/2016
CHE150074,CHE150074,Physical Chemistry,Chemistry,Mathematical and Physical Sciences,Research,new,11/24/2015,12/31/2015
CHE150074,CHE150074,Physical Chemistry,Chemistry,Mathematical and Physical Sciences,Research,new,1/1/2016,12/31/2016
CHE150074,CHE150074,Physical Chemistry,Chemistry,Mathematical and Physical Sciences,Research,renewal,1/1/2017,12/31/2017
CHE150074,CHE150074,Chemistry,Chemistry,Mathematical and Physical Sciences,Research,renewal,1/1/2018,12/31/2018
CHE150074,CHE150074,Chemistry,Chemistry,Mathematical and Physical Sciences,Research,renewal,1/1/2019,12/31/2019
ASC060005,ASC060028N,Advanced Scientific Computing,Advanced Scientific Computing,Computer and Information Science and Engineering,,new,4/1/2006,12/31/2006
ASC060005,ASC060028N,Advanced Scientific Computing,Advanced Scientific Computing,Computer and Information Science and Engineering,,renewal,1/1/2007,12/31/2007
CHE070096,CHE070096N,Chemistry,Chemistry,Mathematical and Physical Sciences,,new,9/4/2007,9/1/2008
ASC060005,ASC060027N,"Chemical, Thermal Systems","Chemical, Thermal Systems",Engineering,,renewal,1/1/2007,12/31/2007
ASC060005,ASC060027N,"Fluid, Particulate, and Hydraulic Systems","Chemical, Thermal Systems",Engineering,MRAC,renewal,10/1/2008,9/30/2009
ASC090046,ASC090046T,Algorithm Development,Advanced Scientific Computing,Computer and Information Science and Engineering,Startup,new,1/30/2009,1/30/2010
ASC090046,ASC090046,Algorithm Development,Advanced Scientific Computing,Computer and Information Science and Engineering,Startup,new,1/30/2009,1/30/2010
CHE090073,CHE090073,Physical Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,new,4/16/2009,4/16/2010
CTS100006,CTS100006,"Fluid, Particulate, and Hydraulic Systems","Chemical, Thermal Systems",Engineering,Startup,new,10/27/2009,10/27/2010
CTS100006,CTS100006,"Fluid, Particulate, and Hydraulic Systems","Chemical, Thermal Systems",Engineering,Startup,new,11/9/2009,11/9/2010
ASC090046,ASC090046,"Visualization, Graphics, and Image Processing",Advanced Scientific Computing,Computer and Information Science and Engineering,Startup,renewal,1/31/2010,1/31/2011
ASC090046,ASC090046,"Visualization, Graphics, and Image Processing",Advanced Scientific Computing,Computer and Information Science and Engineering,Startup,renewal,2/1/2011,2/1/2012
CCR100035,CCR100035,Computer and Computation Research,Computer and Computation Research,Computer and Information Science and Engineering,Startup,new,8/13/2010,8/13/2011
ASC090046,ASC090046,Algorithm Development,Advanced Scientific Computing,Computer and Information Science and Engineering,Campus Champions,renewal,2/2/2012,2/2/2013
ASC090046,ASC090046,Advanced Scientific Computing,Advanced Scientific Computing,Computer and Information Science and Engineering,Campus Champions,renewal,2/3/2013,2/2/2014
CCR140003,CCR140003,Computer and Computation Research,Computer and Computation Research,Computer and Information Science and Engineering,Startup,new,11/6/2013,11/5/2014
ASC090046,ASC090046,Geography and Regional Science,Social and Economic Science,"Social, Behavioral, and Economic Sciences",Campus Champions,renewal,2/3/2014,2/2/2015
TRA150008,TRA150008,Training,Training,Other,Campus Champions,new,3/25/2015,3/24/2016
TRA160008,TRA160008,Training,Training,Other,Campus Champions,new,2/26/2016,2/25/2017
BIO160024,BIO160024,Biological Sciences,Biological Sciences,Biological Sciences,Startup,new,4/11/2016,4/10/2017
CTS160033,CTS160033,"Fluid, Particulate, and Hydraulic Systems","Chemical, Thermal Systems",Engineering,Startup,new,6/13/2016,6/12/2017
DMR160135,DMR160135,Materials Research,Materials Research,Mathematical and Physical Sciences,Startup,new,9/6/2016,9/5/2017
TRA160008,TRA160008,Cross-Disciplinary Activities,Cross-Disciplinary Activities,Computer and Information Science and Engineering,Campus Champions,renewal,2/26/2017,2/25/2018
TRA160008,TRA160008,Cross-Disciplinary Activities,Cross-Disciplinary Activities,Computer and Information Science and Engineering,Campus Champions,renewal,2/23/2017,2/22/2018
DMR170061,DMR170061,Materials Research,Materials Research,Mathematical and Physical Sciences,Startup,new,7/10/2017,7/9/2018
MCB170125,MCB170125,Molecular Biosciences,Molecular Biosciences,Biological Sciences,Educational,new,9/26/2017,9/25/2018
TRA160008,TRA160008,Advanced Scientific Computing,Advanced Scientific Computing,Computer and Information Science and Engineering,Campus Champions,renewal,2/26/2018,2/25/2019
DMR160135,DMR160135,Physics,Physics,Mathematical and Physical Sciences,Startup,renewal,4/6/2018,4/5/2019
DEB180010,DEB180010,Systematic and Population Biology,Environmental Biology,Biological Sciences,Startup,new,6/12/2018,6/11/2019
CTS070045,CTS070059N,"Chemical, Thermal Systems","Chemical, Thermal Systems",Engineering,,new,7/6/2007,7/1/2008
MCB110160,MCB110160,Genetics and Nucleic Acids,Molecular Biosciences,Biological Sciences,Startup,new,8/17/2011,8/17/2012
MCB130232,MCB130232,Biochemistry and Molecular Structure and Function,Molecular Biosciences,Biological Sciences,Startup,new,9/21/2013,9/20/2014
MCB140170,MCB140170,Biophysics,Molecular Biosciences,Biological Sciences,Startup,new,5/29/2014,5/28/2015
BIO150069,BIO150069,Biological Sciences,Biological Sciences,Biological Sciences,Startup,new,11/11/2015,11/10/2016
TRA160029,TRA160029,Training,Training,Other,Startup,new,9/1/2016,8/31/2017
CTS160072,CTS160072,Thermal Systems,"Chemical, Thermal Systems",Engineering,Startup,new,1/25/2017,1/24/2018
CTS170029,CTS170029,Chemical and Reaction Processes,"Chemical, Thermal Systems",Engineering,Startup,new,7/17/2017,7/16/2018
CTS160072,CTS160072,"Fluid, Particulate, and Hydraulic Systems","Chemical, Thermal Systems",Engineering,Startup,renewal,6/1/2018,5/31/2019
CTS170029,CTS170029,Physical Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,renewal,9/24/2018,9/23/2019
CHE180090,CHE180090,Physical Chemistry,Chemistry,Mathematical and Physical Sciences,Research,new,1/1/2019,12/31/2019
CTS050058,CTS050048T,"Chemical, Thermal Systems","Chemical, Thermal Systems",Engineering,,new,9/16/2005,9/30/2006
DMR080051,DMR080045T,Materials Research,Materials Research,Mathematical and Physical Sciences,,new,5/1/2008,4/30/2009
DMS080033,DMS080032N,Mathematical Sciences,Mathematical Sciences,Mathematical and Physical Sciences,,new,9/3/2008,9/30/2009
DMS080033,DMS080032N,Computational Mathematics,Mathematical Sciences,Mathematical and Physical Sciences,Startup,renewal,10/1/2009,10/1/2010
DMR100018,DMR100018,Materials Research,Materials Research,Mathematical and Physical Sciences,Startup,new,1/6/2010,1/6/2011
DMS100012,DMS100012,Computational Mathematics,Mathematical Sciences,Mathematical and Physical Sciences,TRAC,new,4/1/2010,3/31/2011
DDM110001,DDM110001,Manufacturing Processes and Equipment,Design and Manufacturing Systems,Engineering,Startup,new,12/18/2010,12/18/2011
OCE120006,OCE120006,Ocean Sciences,Ocean Sciences,Geosciences,Campus Champions,new,5/17/2012,5/17/2013
DMS130003,DMS130003,Computational Mathematics,Mathematical Sciences,Mathematical and Physical Sciences,Educational,new,12/21/2012,12/20/2013
TRA130015,TRA130015,Training,Training,Other,Campus Champions,new,3/23/2013,3/22/2014
DMR140077,DMR140077,Materials Research,Materials Research,Mathematical and Physical Sciences,Startup,new,6/12/2014,6/11/2015
STA150001,STA150001,Center Systems Staff,Center Systems Staff,Other,Campus Champions,new,7/10/2015,7/9/2016
PHY080041,PHY080042T,Physics,Physics,Mathematical and Physical Sciences,,new,7/10/2008,7/1/2009
DMR080082,DMR090036,Materials Research,Materials Research,Mathematical and Physical Sciences,Startup,new,10/14/2008,10/14/2009
TRA120016,TRA120016,Training,Training,Other,Campus Champions,new,2/25/2012,2/25/2013
TRA120016,TRA120016,Training,Training,Other,Campus Champions,renewal,2/26/2013,2/25/2014
TRA120016,TRA120016,Training,Training,Other,Campus Champions,renewal,2/26/2014,2/25/2015
DMR170034,DMR170034,Materials Research,Materials Research,Mathematical and Physical Sciences,Startup,new,5/22/2017,5/21/2018
PHY150042,PHY150042,Physics,Physics,Mathematical and Physical Sciences,Startup,new,10/27/2015,10/26/2016
MSS060027,MSS070000T,Mechanical and Structural Systems,Mechanical and Structural Systems,Engineering,,new,10/2/2006,9/30/2007
AST080016,AST080010N,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,,new,1/7/2008,1/1/2009
AST080054,AST090041,Planetary Astronomy,Astronomical Sciences,Mathematical and Physical Sciences,DAC-Ranger,new,10/2/2008,10/2/2009
DMR090011,DMR090059,Materials Research,Materials Research,Mathematical and Physical Sciences,Startup,new,12/10/2008,12/10/2009
DMR100066,DMR100066,Materials Research,Materials Research,Mathematical and Physical Sciences,Startup,new,5/14/2010,5/14/2011
MCB100172,MCB100172,Biophysics,Molecular Biosciences,Biological Sciences,Startup,new,10/1/2010,10/1/2011
MCB110054,MCB110054,Biophysics,Molecular Biosciences,Biological Sciences,TRAC,new,4/1/2011,3/31/2012
DMR110057,DMR110057,Materials Research,Materials Research,Mathematical and Physical Sciences,TRAC,new,7/1/2011,6/30/2012
AST120020,AST120020,Planetary Astronomy,Astronomical Sciences,Mathematical and Physical Sciences,Startup,new,1/19/2012,1/19/2013
DMS120031,DMS120031,Statistics and Probability,Mathematical Sciences,Mathematical and Physical Sciences,Startup,new,8/7/2012,8/6/2013
CTS130007,CTS130007,Thermal Systems,"Chemical, Thermal Systems",Engineering,XRAC,new,1/1/2013,12/31/2013
AST130005,AST130005,Planetary Astronomy,Astronomical Sciences,Mathematical and Physical Sciences,XRAC,new,1/1/2013,12/31/2013
CCR140006,CCR140006,Computer and Computation Research,Computer and Computation Research,Computer and Information Science and Engineering,Startup,new,11/5/2013,11/4/2014
AST120020,AST120020,Planetary Astronomy,Astronomical Sciences,Mathematical and Physical Sciences,Startup,renewal,1/29/2014,1/28/2015
AST140026,AST140026,Planetary Astronomy,Astronomical Sciences,Mathematical and Physical Sciences,XRAC,new,4/1/2014,3/31/2015
GEO140003,GEO140003,Geosciences,Geosciences,Geosciences,Startup,new,11/11/2014,11/10/2015
AST130005,AST130005,Planetary Astronomy,Astronomical Sciences,Mathematical and Physical Sciences,Research,renewal,10/1/2015,9/30/2016
AST130005,AST130005,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,Research,renewal,7/1/2017,6/30/2018
AST130005,AST130005,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,Research,renewal,7/1/2018,6/30/2019
CCR100032,CCR100032,Computer and Computation Research,Computer and Computation Research,Computer and Information Science and Engineering,Educational,new,7/24/2010,7/24/2011
CCR130035,CCR130035,Computer and Computation Research,Computer and Computation Research,Computer and Information Science and Engineering,Educational,new,5/7/2013,5/6/2014
PHY080009,PHY080009N,Physics,Physics,Mathematical and Physical Sciences,,new,11/28/2007,11/30/2008
CHE110047,CHE110047,Physical Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,new,2/1/2011,2/1/2012
CHE120018,CHE120018,Physical Chemistry,Chemistry,Mathematical and Physical Sciences,XRAC,new,4/1/2012,3/31/2013
AST070027,AST070031T,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,,new,6/5/2007,5/31/2008
AST090107,AST090107,Stellar Astronomy and Astrophysics,Astronomical Sciences,Mathematical and Physical Sciences,TRAC,new,10/1/2009,9/30/2010
AST090107,AST090107,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,TRAC,renewal,4/1/2011,3/31/2012
AST110061,AST110061,Stellar Astronomy and Astrophysics,Astronomical Sciences,Mathematical and Physical Sciences,Educational,new,8/11/2011,8/11/2012
AST090107,AST090107,Stellar Astronomy and Astrophysics,Astronomical Sciences,Mathematical and Physical Sciences,XRAC,renewal,4/1/2012,3/31/2013
AST130050,AST130050,Stellar Astronomy and Astrophysics,Astronomical Sciences,Mathematical and Physical Sciences,Startup,new,6/12/2013,6/11/2014
AST090107,AST090107,Stellar Astronomy and Astrophysics,Astronomical Sciences,Mathematical and Physical Sciences,XRAC,renewal,7/1/2013,6/30/2014
AST090107,AST090107,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,XRAC,renewal,7/1/2014,6/30/2015
AST090107,AST090107,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,Research,renewal,5/8/2015,6/30/2015
AST090107,AST090107,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,Research,renewal,7/1/2015,6/30/2016
AST090107,AST090107,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,Research,renewal,7/1/2016,6/30/2017
ATM170013,ATM170013,Solar Terrestrial Research,Atmospheric Sciences,Geosciences,Startup,new,3/23/2017,3/22/2018
AST090107,AST090107,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,Research,renewal,7/1/2017,6/30/2018
AST180006,AST180006,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,Research,new,1/16/2018,3/31/2018
ATM170013,ATM170013,Solar Terrestrial Research,Atmospheric Sciences,Geosciences,Startup,renewal,4/2/2018,4/1/2019
ATM180015,ATM180015,Magnetospheric Physics,Atmospheric Sciences,Geosciences,Research,new,10/1/2018,9/30/2019
AST090107,AST090107,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,Research,renewal,1/29/2019,3/31/2019
AST090090,AST090090,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,Startup,new,5/16/2009,5/16/2010
AST100043,AST100043,Extragalactic Astronomy and Cosmology,Astronomical Sciences,Mathematical and Physical Sciences,Startup,new,8/28/2010,8/28/2011
AST110036,AST110036,Extragalactic Astronomy and Cosmology,Astronomical Sciences,Mathematical and Physical Sciences,TRAC,new,7/1/2011,6/30/2012
AST110036,AST110036,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,XRAC,renewal,1/1/2013,12/31/2013
AST140020,AST140020,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,Startup,new,12/18/2013,12/17/2014
AST110036,AST110036,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,Research,renewal,10/1/2014,9/30/2015
AST150012,AST150012,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,Startup,new,3/19/2015,3/18/2016
AST150044,AST150044,Extragalactic Astronomy and Cosmology,Astronomical Sciences,Mathematical and Physical Sciences,Research,new,10/1/2015,9/30/2016
AST160043,AST160043,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,Research,new,10/1/2016,9/30/2017
AST170016,AST170016,Extragalactic Astronomy and Cosmology,Astronomical Sciences,Mathematical and Physical Sciences,Startup,new,6/7/2017,6/6/2018
AST160043,AST160043,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,Research,renewal,4/1/2018,3/31/2019
CHE140119,CHE140119,Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,new,8/16/2014,8/15/2015
CHE140119,CHE140119,Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,renewal,3/24/2016,3/23/2017
DMR160073,DMR160073,Materials Research,Materials Research,Mathematical and Physical Sciences,Research,new,7/1/2016,6/30/2017
BIO180009,BIO180009,Biological Sciences,Biological Sciences,Biological Sciences,Startup,new,1/30/2018,1/29/2019
DEB180001,DEB180001,Systematic and Population Biology,Environmental Biology,Biological Sciences,Startup,new,2/5/2018,2/4/2019
TRA180031,TRA180031,Training,Training,Other,Campus Champions,new,7/2/2018,7/1/2019
MCB180171,MCB180171,Molecular Biosciences,Molecular Biosciences,Biological Sciences,Startup,new,10/22/2018,10/21/2019
CTS140004,CTS140004,Chemical and Reaction Processes,"Chemical, Thermal Systems",Engineering,Startup,new,10/17/2013,10/16/2014
CHE170083,CHE170083,Chemistry,Chemistry,Mathematical and Physical Sciences,Educational,new,10/4/2017,10/3/2018
CHE120077,CHE120077,Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,new,6/13/2012,6/13/2013
SES130006,SES130006,Law and Social Sciences,Social and Economic Science,"Social, Behavioral, and Economic Sciences",Startup,new,1/31/2013,1/30/2014
MCB140083,MCB140083,Molecular Biosciences,Molecular Biosciences,Biological Sciences,XRAC,new,4/1/2014,3/31/2015
CHE150054,CHE150054,Physical Chemistry,Chemistry,Mathematical and Physical Sciences,Educational,new,8/26/2015,8/25/2016
MCB140083,MCB140083,Biochemistry and Molecular Structure and Function,Molecular Biosciences,Biological Sciences,Research,renewal,4/1/2016,3/31/2017
MCB140083,MCB140083,Molecular Biosciences,Molecular Biosciences,Biological Sciences,Research,renewal,1/1/2018,12/31/2018
MCB180028,MCB180028,Biophysics,Molecular Biosciences,Biological Sciences,Startup,new,2/13/2018,2/12/2019
MCB080120,MCB080135N,Molecular Biosciences,Molecular Biosciences,Biological Sciences,,new,8/15/2008,8/31/2009
DMR150078,DMR150078,Materials Research,Materials Research,Mathematical and Physical Sciences,Startup,new,9/10/2015,9/9/2016
MCA05S009,MCA05S009,"Chemical, Thermal Systems","Chemical, Thermal Systems",Engineering,,new,4/1/2005,3/31/2006
MCA05S009,MCA05T009,"Chemical, Thermal Systems","Chemical, Thermal Systems",Engineering,,new,4/1/2005,3/31/2006
MCA03S007,MCA03T007,Electrical and Communication Systems,Electrical and Communication Systems,Engineering,,new,4/1/2005,3/31/2006
CTS040043,CTS040040N,"Fluid, Particulate, and Hydraulic Systems","Chemical, Thermal Systems",Engineering,,new,10/1/2004,9/30/2005
CTS050018,CTS050022N,"Chemical, Thermal Systems","Chemical, Thermal Systems",Engineering,,new,4/1/2005,3/31/2006
CTS050018,CTS050023N,"Chemical, Thermal Systems","Chemical, Thermal Systems",Engineering,,new,4/1/2005,3/31/2006
MCA03S007,MCA03S007,Materials Research,Materials Research,Mathematical and Physical Sciences,,new,3/30/2004,3/31/2005
CTS040043,CTS040042N,"Chemical, Thermal Systems","Chemical, Thermal Systems",Engineering,,new,10/1/2004,9/30/2005
AST060015,AST060017N,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,,new,4/1/2006,3/31/2007
AST060015,AST060018N,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,,new,4/1/2006,3/31/2007
MCA06N032,MCA06N032,"Chemical, Thermal Systems","Chemical, Thermal Systems",Engineering,,new,4/1/2006,3/31/2007
MCA06N032,MCA06T032,"Chemical, Thermal Systems","Chemical, Thermal Systems",Engineering,,new,4/1/2006,3/31/2007
MCA03S007,MCA03T007,Electrical and Communication Systems,Electrical and Communication Systems,Engineering,,renewal,4/1/2006,3/31/2007
MCA03S007,MCA03S007,Materials Research,Materials Research,Mathematical and Physical Sciences,,renewal,4/1/2006,3/31/2007
DMR060076,DMR070000T,Materials Research,Materials Research,Mathematical and Physical Sciences,,new,10/10/2006,10/30/2007
MCB060020,MCB060040T,Molecular Biosciences,Molecular Biosciences,Biological Sciences,,new,4/12/2006,4/30/2007
EAR060013,EAR060010N,Earth Sciences,Earth Sciences,Geosciences,,new,6/13/2006,6/30/2007
MCB060066,MCB060062N,Molecular Biosciences,Molecular Biosciences,Biological Sciences,,new,7/1/2006,6/30/2007
MCB060066,MCB060067N,Molecular Biosciences,Molecular Biosciences,Biological Sciences,,new,7/1/2006,6/30/2007
DMR060062,DMR060045T,Materials Research,Materials Research,Mathematical and Physical Sciences,,new,7/24/2006,7/31/2007
ATM060024,ATM060017T,Atmospheric Sciences,Atmospheric Sciences,Geosciences,,new,7/24/2006,7/31/2007
DMR060063,DMR060057N,Materials Research,Materials Research,Mathematical and Physical Sciences,,new,10/1/2006,9/30/2007
DMR060063,DMR060058N,Materials Research,Materials Research,Mathematical and Physical Sciences,,new,10/1/2006,9/30/2007
CHE050090,CHE050090S,Chemistry,Chemistry,Mathematical and Physical Sciences,,renewal,6/1/2006,5/31/2007
IRI070001,IRI070001T,"Information, Robotics, and Intelligent Systems","Information, Robotics, and Intelligent Systems",Computer and Information Science and Engineering,,new,11/7/2006,10/31/2007
DMR060070,DMR070006N,Materials Research,Materials Research,Mathematical and Physical Sciences,,new,11/21/2006,11/30/2007
MCB070049,MCB070031T,Molecular Biosciences,Molecular Biosciences,Biological Sciences,,new,3/14/2007,3/31/2008
CTS070018,CTS070032N,"Chemical, Thermal Systems","Chemical, Thermal Systems",Engineering,,new,3/19/2007,3/30/2008
MCA03S007,MCA03S007,Materials Research,Materials Research,Mathematical and Physical Sciences,,renewal,4/1/2007,3/31/2008
MCA03S007,MCA03T007,Electrical and Communication Systems,Electrical and Communication Systems,Engineering,,renewal,4/1/2007,3/31/2008
CTS040043,CTS040040N,"Fluid, Particulate, and Hydraulic Systems","Chemical, Thermal Systems",Engineering,,renewal,4/1/2007,3/31/2008
CTS040043,CTS040042N,"Chemical, Thermal Systems","Chemical, Thermal Systems",Engineering,,renewal,4/1/2007,3/31/2008
ATM060010,ATM060010S,Atmospheric Sciences,Atmospheric Sciences,Geosciences,,renewal,1/1/2007,12/31/2007
MCB070054,MCB070051T,Molecular Biosciences,Molecular Biosciences,Biological Sciences,,new,5/4/2007,4/30/2008
MCB070055,MCB070052N,Molecular Biosciences,Molecular Biosciences,Biological Sciences,,new,4/1/2007,4/30/2008
DMR070041,DMR070041N,Materials Research,Materials Research,Mathematical and Physical Sciences,,new,5/23/2007,5/30/2008
MCB070061,MCB070059N,Molecular Biosciences,Molecular Biosciences,Biological Sciences,,new,5/25/2007,6/30/2008
CTS070040,CTS070046N,"Chemical, Thermal Systems","Chemical, Thermal Systems",Engineering,,new,6/1/2007,5/31/2008
DMR070058,DMR070056N,Materials Research,Materials Research,Mathematical and Physical Sciences,,new,7/12/2007,7/1/2008
NCR070005,NCR070003N,Networking and Communications Research,Networking and Communications Research,Computer and Information Science and Engineering,,new,7/1/2007,6/30/2008
DMR070073,DMR070062T,Materials Research,Materials Research,Mathematical and Physical Sciences,,new,8/14/2007,8/1/2008
OCE070009,OCE080001N,Ocean Sciences,Ocean Sciences,Geosciences,,new,10/1/2007,9/30/2008
CHE080010,CHE080011N,Chemistry,Chemistry,Mathematical and Physical Sciences,,new,11/6/2007,11/1/2008
ECS080002,ECS080000N,Electrical and Communication Systems,Electrical and Communication Systems,Engineering,,new,11/28/2007,11/30/2008
CHE080016,ASC080018N,Advanced Scientific Computing,Advanced Scientific Computing,Computer and Information Science and Engineering,,new,12/21/2007,12/31/2008
PHY080015,PHY080020N,Physics,Physics,Mathematical and Physical Sciences,,new,1/8/2008,1/8/2009
MCA03S007,MCA03S007,Materials Research,Materials Research,Mathematical and Physical Sciences,,renewal,4/1/2008,3/31/2009
DMR080024,DMR080034N,Materials Research,Materials Research,Mathematical and Physical Sciences,,new,4/1/2008,3/31/2009
DMR080024,DMR080035N,Materials Research,Materials Research,Mathematical and Physical Sciences,,new,4/1/2008,3/31/2009
CTS080025,CTS080035T,"Chemical, Thermal Systems","Chemical, Thermal Systems",Engineering,,new,4/25/2008,4/30/2009
MCB080087,MCB080101N,Molecular Biosciences,Molecular Biosciences,Biological Sciences,,new,5/22/2008,5/31/2009
CTS080036,CTS080038T,"Chemical, Thermal Systems","Chemical, Thermal Systems",Engineering,,new,5/23/2008,5/31/2009
CTS080039,CTS080040T,"Chemical, Thermal Systems","Chemical, Thermal Systems",Engineering,,new,6/19/2008,6/30/2009
AST080029,AST080025N,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,,new,7/1/2008,6/30/2009
CTS080034,CTS080041N,"Chemical, Thermal Systems","Chemical, Thermal Systems",Engineering,,new,7/1/2008,6/30/2009
CTS080040,CTS080047N,"Chemical, Thermal Systems","Chemical, Thermal Systems",Engineering,,new,8/6/2008,7/31/2009
CHE080086,CHE080082N,Chemistry,Chemistry,Mathematical and Physical Sciences,,new,8/13/2008,7/31/2009
CTS080051,CTS080049N,"Chemical, Thermal Systems","Chemical, Thermal Systems",Engineering,,new,8/13/2008,7/31/2009
DMR080069,DMR090020,Materials Research,Materials Research,Mathematical and Physical Sciences,MRAC,new,10/1/2008,9/30/2009
CTS080047,CTS090022,"Interfacial, Transport, and Separations Processes","Chemical, Thermal Systems",Engineering,MRAC,new,10/1/2008,9/30/2009
CTS080059,CTS090026,Chemical and Reaction Processes,"Chemical, Thermal Systems",Engineering,DAC-Ranger,new,10/2/2008,10/2/2009
MCB090002,MCB090041,Biophysics,Molecular Biosciences,Biological Sciences,Startup,new,10/15/2008,10/15/2009
DMR090009,DMR090057,Materials Research,Materials Research,Mathematical and Physical Sciences,Startup,new,10/31/2008,10/31/2009
DMR090072,DMR090072,Materials Research,Materials Research,Mathematical and Physical Sciences,Startup,new,1/29/2009,1/29/2010
MCA03S007,MCA03S007,Electrical and Communication Systems,Electrical and Communication Systems,Engineering,TRAC,renewal,4/1/2009,3/31/2010
AST090082,AST090082,Extragalactic Astronomy and Cosmology,Astronomical Sciences,Mathematical and Physical Sciences,Startup,new,3/26/2009,3/26/2010
DEB090008,DEB090008,Systematic and Population Biology,Environmental Biology,Biological Sciences,Startup,new,3/26/2009,3/26/2010
DMR090088,DMR090088,Materials Research,Materials Research,Mathematical and Physical Sciences,Startup,new,3/26/2009,3/26/2010
DEB090010,DEB090010,Systematic and Population Biology,Environmental Biology,Biological Sciences,Startup,new,4/22/2009,4/22/2010
AST090095,AST090095,Extragalactic Astronomy and Cosmology,Astronomical Sciences,Mathematical and Physical Sciences,Startup,new,6/27/2009,6/27/2010
DEB090012,DEB090012,Systematic and Population Biology,Environmental Biology,Biological Sciences,Startup,new,5/30/2009,5/30/2010
EAR090045,EAR090045,Experimental and Theoretical Geochemistry,Earth Sciences,Geosciences,Startup,new,6/17/2009,6/17/2010
CHE090109,CHE090109T,Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,new,6/17/2009,6/17/2010
CTS080034,CTS080041N,"Fluid, Particulate, and Hydraulic Systems","Chemical, Thermal Systems",Engineering,TRAC,renewal,7/1/2009,6/30/2010
CTS090081,CTS090081,"Fluid, Particulate, and Hydraulic Systems","Chemical, Thermal Systems",Engineering,TRAC,new,7/1/2009,6/30/2010
AST080029,AST080025N,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,TRAC,renewal,7/1/2009,6/30/2010
